G.1,Strategy and Vision,"Trusted and secure PKI must be properly managed and supported by the organization. The existence of a strategy and vision for the PKI is one of the key factors for the success of the PKI and contributes to the overall maturity. The strategy and vision should be aligned with the organizational goals and approach and should be followed and measured regularly.

Formal documentation about the business drivers, scope, and design of the PKI helps to ensure that the PKI is properly aligned and understood to support the organizational. The documentation should be reviewed and updated regularly to ensure that the PKI is aligned with the organizational goals and needs.

Undefined or unclear understanding and leadership can cause loss of the established trust and can lead to the failure of the PKI quickly.
",G.1.1,Organizational sponsor and support,"The success of the PKI implementation highly depends on the organization top management support. Top management typically also acts as a sponsor of the PKI, meaning that they allocate and approve budget needed to build and maintain the PKI.

The basic assumption is that the established digital trust is going to be maintained and developed for years, and therefore it is important to have a long-term vision and strategy for the PKI. The strategy and vision should be aligned with the overall organizational goals and approach.
","Assessment
The following is sample evidence that can be used to assess the requirement:
- Interview with the top management
- Documented strategy and vision
- Documented organizational goals and approach
- Understanding of why the PKI is needed and what is the value for the organization
- Support and sponsorship of the top management

References
- ISO/IEC 27001 - Information security management systems
"
G.1,Strategy and Vision,"Trusted and secure PKI must be properly managed and supported by the organization. The existence of a strategy and vision for the PKI is one of the key factors for the success of the PKI and contributes to the overall maturity. The strategy and vision should be aligned with the organizational goals and approach and should be followed and measured regularly.

Formal documentation about the business drivers, scope, and design of the PKI helps to ensure that the PKI is properly aligned and understood to support the organizational. The documentation should be reviewed and updated regularly to ensure that the PKI is aligned with the organizational goals and needs.

Undefined or unclear understanding and leadership can cause loss of the established trust and can lead to the failure of the PKI quickly.
",G.1.2,Formal assignment of responsible leadership,"Proper leadership and responsible person should be assigned by the management to fulfil the role for the establishment, maintenance, and development of the PKI according to the strategy and vision. The responsible person should be able to make decisions and take actions to ensure the PKI is aligned with the organizational goals and needs.
","Assessment
The formal assignment of the responsible person should be documented and approved by the management. Formal document should contains identification of the person and understanding of the role and responsibilities.
Interview with the responsible person should confirm the understanding of the role and responsibilities, driving the PKI implementation according to the organizational strategy.

References
- ISO/IEC 27001 - Information security management systems
"
G.1,Strategy and Vision,"Trusted and secure PKI must be properly managed and supported by the organization. The existence of a strategy and vision for the PKI is one of the key factors for the success of the PKI and contributes to the overall maturity. The strategy and vision should be aligned with the organizational goals and approach and should be followed and measured regularly.

Formal documentation about the business drivers, scope, and design of the PKI helps to ensure that the PKI is properly aligned and understood to support the organizational. The documentation should be reviewed and updated regularly to ensure that the PKI is aligned with the organizational goals and needs.

Undefined or unclear understanding and leadership can cause loss of the established trust and can lead to the failure of the PKI quickly.
",G.1.3,Scope and business drivers for PKI,"The scope of the PKI should be clearly defined and documented. The scope should be defined in terms of the use-cases that the PKI is going to support. Each use-case can have a different requirements and therefore different strategy. The use-cases should be defined in terms of the business drivers that are going to be supported by the PKI. Business drivers helps to document alignment with the overall organizational goals.

The scope and business drivers can be considered as a formal high-level overview of the PKI strategy and vision.
Its purpose is also to create a common understanding of the organizational PKI and to provide direction for the detailed design and implementation.
The target audience consists typically of architects, experts, advisors, management, and sponsors.
","Assessment
The following is sample evidence that can be used to assess the requirement:
- Documented scope of the PKI
- Documented business drivers
- Documented use-cases
- Documented alignment with the organizational goals

References
- ISO/IEC 27001 - Information security management systems
- The Open Group Architecture Framework (TOGAF)
"
G.1,Strategy and Vision,"Trusted and secure PKI must be properly managed and supported by the organization. The existence of a strategy and vision for the PKI is one of the key factors for the success of the PKI and contributes to the overall maturity. The strategy and vision should be aligned with the organizational goals and approach and should be followed and measured regularly.

Formal documentation about the business drivers, scope, and design of the PKI helps to ensure that the PKI is properly aligned and understood to support the organizational. The documentation should be reviewed and updated regularly to ensure that the PKI is aligned with the organizational goals and needs.

Undefined or unclear understanding and leadership can cause loss of the established trust and can lead to the failure of the PKI quickly.
",G.1.4,Architecture and design of the PKI,"The architecture and design of the PKI should be documented to provide a clear understanding of the implementation and technologies that are involved. The architecture and design should be aligned with the scope and business drivers for the PKI and should be reviewed and updated regularly.

The architecture and design typically consists of the following:
- Functional and technical design description
- Description of logical components
- Network infrastructure design
- Technology involved
- Integration requirements and interfaces (APIs)
- Support systems (such as IAM, logging, monitoring, etc.)
- Operational requirements
- Security requirements
- Deployment options
- Staging and testing

The architecture and design are further used for the implementation of the PKI and serves as an input for the PKI team. It can be also used for the procurement of the PKI components and services that are needed for the implementation.
","Assessment
The following is sample evidence that can be used to assess the requirement:
- Documented architecture and design
- Alignment with the scope and business drivers
- Interview with the PKI team to confirm the understanding of the architecture and design

References
- ETSI EN 319 401 - General Policy Requirements for Trust Service Providers
- The Open Group Architecture Framework (TOGAF)
"
G.2,Policies and documentation,"Documented policies plays an important role in the secure and consistent management of the PKI. The goal is to minimize financial and operational threats and risks in the digital world. Well-described policies and security measures increase overall trust in the ecosystem of trust services and are a condition for successful operation. The basis for these matters lies in relevant laws and regulations, international standards and best practices.

It consists of:
- formal policies and practice statements for supported PKI services and use-cases
- formal management of agreements between parties involved in the PKI
- certificate and key management rules
- roles and responsibilities in the management of the PKI
- documented disclosure statements
- maintenance and review of policies and documentation
- code of practice for information security management, techniques and risk management

Properly documented policies keeps the PKI assets trusted over the time and serves as a basis for integrated processes and procedures. It is a living management system that is continuously updated and changed as technologies, security, and compliance requirements change.

The Certificate Policy (CP) defines the overall policies and requirements of a PKI, the Certification Practice Statement (CPS) provides detailed operational procedures followed by the Certification Authority (CA), and the disclosure statement offers transparency about the CA's identity and services to relying parties.
",G.2.1,he scope of policies is defined and documented,"Each PKI implementation and use case is different, therefore it requires different care. The scope of policies that are applicable for the implementation should be defined and documented. When the proper description of the policies scope is provided, it helps all parties involved to understand the purpose of the policies and their applicability.

The scope can include the following:
- Identification of the policies required for the implementation
- Reasoning why the policies are required or not required
- Structure of policies and documentation
- List of policies with references, versions, etc.
- Any other relevant information
","Assessment
- The scope of policies is defined and documented
- The scope of policies is complete
- Interview with the management and PKI responsible personnel to confirm the scope

References
- RFC 3647 - Internet X.509 Public Key Infrastructure Certificate Policy and Certification Practices Framework
- ISO/IEC 27001 - Information security management systems
- ETSI EN 319 401 - General Policy Requirements for Trust Service Providers
"
G.2,Policies and documentation,"Documented policies plays an important role in the secure and consistent management of the PKI. The goal is to minimize financial and operational threats and risks in the digital world. Well-described policies and security measures increase overall trust in the ecosystem of trust services and are a condition for successful operation. The basis for these matters lies in relevant laws and regulations, international standards and best practices.

It consists of:
- formal policies and practice statements for supported PKI services and use-cases
- formal management of agreements between parties involved in the PKI
- certificate and key management rules
- roles and responsibilities in the management of the PKI
- documented disclosure statements
- maintenance and review of policies and documentation
- code of practice for information security management, techniques and risk management

Properly documented policies keeps the PKI assets trusted over the time and serves as a basis for integrated processes and procedures. It is a living management system that is continuously updated and changed as technologies, security, and compliance requirements change.

The Certificate Policy (CP) defines the overall policies and requirements of a PKI, the Certification Practice Statement (CPS) provides detailed operational procedures followed by the Certification Authority (CA), and the disclosure statement offers transparency about the CA's identity and services to relying parties.
",G.2.2,Certificate policy is documented and published,"Certificate Policy (CP) is used to establish the controls of the issuing party and the roles and responsibilities of its entities for the specific PKI implementation and use case. It's used to provide assurance to partners and show the trustworthiness by the use of standards. It can be considered as a high level contract between the parties involved in the PKI and therefore should be published and available to all parties involved.

CPs are described in a document form where the content may differ. Multiple policies can be part of a single document for different use cases. A CP contains a set of rules that indicates the applicability of a certificate to a particular community and/or class of applications with common security requirements or level of security (for instance certificates for the purpose of: persons, domains, organizations, authenticity and confidentiality, services). To uniquely identify the purpose of the certificates the CP contains unique numbers (Object Identifier, OID) which needs to be registered.

In general a CP addresses the following items:
- Types of certificates
- Document name and identification
- PKI participants
- Certificate usage
- Policy administration
- Definitions
- Publication and repository responsibilities
- Identification and authentication
- Certificate life-cycle operational requirements
- Facility management and operational controls
- Technical security controls
- Certificate, CRL, and OCSP profiles
- Compliance audit and other assessments
  - Other business and legal matters
","Assessment
- The CP is properly documented in its full scope
- The CP clearly defines the scope of the policy, such as the purpose of the security and assurance levels, the type and use of its certificates and parties involved
- The legal rights and responsibilities of parties are described in the CP
- CP has listed correct object identifiers for the purpose it's used for
- Verify that the CP is published and available to all parties involved
- Interview with the management and PKI responsible personnel to confirm the CP is accurate and followed

References
- RFC 3647 - Internet X.509 Public Key Infrastructure Certificate Policy and Certification Practices Framework
- ISO/IEC 27001 - Information security management systems
- ETSI EN 319 411-1 - Policy and security requirements for Trust Service Providers issuing certificates
"
G.2,Policies and documentation,"Documented policies plays an important role in the secure and consistent management of the PKI. The goal is to minimize financial and operational threats and risks in the digital world. Well-described policies and security measures increase overall trust in the ecosystem of trust services and are a condition for successful operation. The basis for these matters lies in relevant laws and regulations, international standards and best practices.

It consists of:
- formal policies and practice statements for supported PKI services and use-cases
- formal management of agreements between parties involved in the PKI
- certificate and key management rules
- roles and responsibilities in the management of the PKI
- documented disclosure statements
- maintenance and review of policies and documentation
- code of practice for information security management, techniques and risk management

Properly documented policies keeps the PKI assets trusted over the time and serves as a basis for integrated processes and procedures. It is a living management system that is continuously updated and changed as technologies, security, and compliance requirements change.

The Certificate Policy (CP) defines the overall policies and requirements of a PKI, the Certification Practice Statement (CPS) provides detailed operational procedures followed by the Certification Authority (CA), and the disclosure statement offers transparency about the CA's identity and services to relying parties.
",G.2.3,Certification practice statement is documented and published,"In addition to a CP, there is typically a Certification Practice Statement (CPS). While a CP is more at a strategic level, detailed information about how things should be carried out is part of a CPS (tactical level). The CP and CPS can be combined into a single managed document, however they are typically split for most of the PKI implementations for better orientation.

The CPS covers the same items as the CP, but includes technical detail of how the CP is implemented. All parties involved in the PKI should be aware of the CPS and follow it. The CPS is a living document that is continuously updated and changed as technologies, security, and compliance requirements change.
","Assessment
- The CPS is properly documented in its full scope
- CPS is published and available to all parties involved
- Interview with the management and PKI responsible personnel to confirm the CPS is accurate and followed
- Confirm that the information in the CPS is consistent with the information in the CP

References
- RFC 3647 - Internet X.509 Public Key Infrastructure Certificate Policy and Certification Practices Framework
- ISO/IEC 27001 - Information security management systems
- ETSI EN 319 411-1 - Policy and security requirements for Trust Service Providers issuing certificates
"
G.2,Policies and documentation,"Documented policies plays an important role in the secure and consistent management of the PKI. The goal is to minimize financial and operational threats and risks in the digital world. Well-described policies and security measures increase overall trust in the ecosystem of trust services and are a condition for successful operation. The basis for these matters lies in relevant laws and regulations, international standards and best practices.

It consists of:
- formal policies and practice statements for supported PKI services and use-cases
- formal management of agreements between parties involved in the PKI
- certificate and key management rules
- roles and responsibilities in the management of the PKI
- documented disclosure statements
- maintenance and review of policies and documentation
- code of practice for information security management, techniques and risk management

Properly documented policies keeps the PKI assets trusted over the time and serves as a basis for integrated processes and procedures. It is a living management system that is continuously updated and changed as technologies, security, and compliance requirements change.

The Certificate Policy (CP) defines the overall policies and requirements of a PKI, the Certification Practice Statement (CPS) provides detailed operational procedures followed by the Certification Authority (CA), and the disclosure statement offers transparency about the CA's identity and services to relying parties.
",G.2.4,Disclosure statement is documented and published,"The disclosure statement (DS) is a document that describes the PKI and its services. It refers to a document that discloses the relevant information about the CA and its services to the relying parties.

It typically includes information like:
- CA's identity, legal status, and contact information
- Certificate types, verification procedures and compliance with standards
- Reliance limits
- Obligations of the CA and the relying parties
- Warranty and liability limitations
- Agreement, CP and CPS
- Privacy policy
- Refund policy and claims
- Information on audit and compliance

The purpose of a DS is to provide transparency to relying parties, allowing them to assess the trustworthiness and reliability of the CA before relying on its certificates.
","Assessment
- The DS is properly documented in its full scope
- DS is published and available to all parties involved
- Interview with the management and PKI responsible personnel to confirm the DS is accurate
- Confirm that the information in the DS is consistent with the information in the CP and CPS

References
- ETSI EN 319 411-1 - Policy and security requirements for Trust Service Providers issuing certificates
"
G.2,Policies and documentation,"Documented policies plays an important role in the secure and consistent management of the PKI. The goal is to minimize financial and operational threats and risks in the digital world. Well-described policies and security measures increase overall trust in the ecosystem of trust services and are a condition for successful operation. The basis for these matters lies in relevant laws and regulations, international standards and best practices.

It consists of:
- formal policies and practice statements for supported PKI services and use-cases
- formal management of agreements between parties involved in the PKI
- certificate and key management rules
- roles and responsibilities in the management of the PKI
- documented disclosure statements
- maintenance and review of policies and documentation
- code of practice for information security management, techniques and risk management

Properly documented policies keeps the PKI assets trusted over the time and serves as a basis for integrated processes and procedures. It is a living management system that is continuously updated and changed as technologies, security, and compliance requirements change.

The Certificate Policy (CP) defines the overall policies and requirements of a PKI, the Certification Practice Statement (CPS) provides detailed operational procedures followed by the Certification Authority (CA), and the disclosure statement offers transparency about the CA's identity and services to relying parties.
",G.2.5,Policies are periodically reviewed and updated,"Policies are living documents that are continuously updated and changed as technologies, security, and compliance requirements change. The policies should be reviewed and updated periodically. The frequency of review should be determined by the organization. Good practice is to review policies at least annually or when there are significant changes in the PKI or its environment.
","Assessment
- The policies are reviewed and updated periodically
- Check the last review date of the policies
- Implementation of review process
- Validation of documentation and reviews
- Interview with the management and PKI responsible personnel to confirm the policies are reviewed and updated periodically

References
- RFC 3647 - Internet X.509 Public Key Infrastructure Certificate Policy and Certification Practices Framework
- ISO/IEC 27001 - Information security management systems
- ETSI EN 319 401 - General Policy Requirements for Trust Service Providers
"
G.3,Compliance,"Compliance refers to the ability of an organization to adhere to relevant laws, regulations, and standards related to the scope of the PKI. A properly implemented PKI Compliance program ensures that an organization's PKI is protected from threats and risks that could result in financial loss, reputational damage, legal liabilities, or eventually in the loss of trust.

The compliance process helps to manage a PKI in a way that meets legal and regulatory requirements, and ensures information is used and protected appropriately, according to defined and documented policies and practices statements.

Compliance is important for several reasons, including:
- It supports the risk management process associated with the PKI assets
- Minimize reputation issues that can lead to the loss of trust
- Provides assurance for the relying parties and subscribers
- Proves adherence to legal requirements

Overall, compliance and related procedures help to ensure that the PKI is managed and maintained according to the relevant laws, regulations, and standards. This minimizes the risk of loss of trust and provides assurance to PKI participants.
",G.3.1,"Compliance policies are defined, implemented, and communicated","Compliance policies are a critical component of an organization’s risk management strategy to help ensure that the PKI system is secure, reliable, trustworthy, and meets any applicable regulatory requirements.

By defining appropriate policies and related procedures and communicating these to all stakeholders who rely on the PKI, the organization can ensure that administrators, operators, and users are properly authenticated and authorized to access the system and that appropriate controls are in place to prevent unauthorized access or misuse of the PKI.

Having a sound set of compliance policies defined, implemented, and communicated can help to demonstrate that the organization took reasonable steps to protect the PKI and may result in reduced legal liability in the event of a breach due to improper or malicious use of the PKI.

The compliance policies typically include:
- Laws, industry regulations and government legislation that apply to the organization business and PKI
- Roles and responsibilities
- Compliance program management requirements
- Reporting and auditing requirements
- References to relevant documents (anti-trust, anti-fraud, anti-bribery, anti-money laundering, due diligence, etc.)
- Any other relevant information that rule compliance
","Assessment
- Documented audit and accountability policies
- Documented communication plan for informing stakeholders of the policies
- Formalized process for stakeholder acknowledgement upon receipt of the policies

References
- ISO 37301 - Compliance management systems and related standard
- NIST Risk Management Framework
"
